,Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD
0,2022,Domestic,Space heating,21249.56673,910.0611515,59.077184
1,2022,Domestic,Water ,5847.050949,910.0611515,59.077184
2,2022,Domestic,Cooking/ Catering,1037.905589,910.0611515,59.077184
3,2022,Domestic,Lighting/ Appliances,6168.696734,910.0611515,59.077184
4,2022,Domestic,Process use,0,910.0611515,59.077184
5,2022,Domestic,Motors/Drivers,0,910.0611515,59.077184
6,2022,Domestic,Drying/Separation,0,910.0611515,59.077184
7,2022,Domestic,Other non-transport,0,910.0611515,59.077184
8,2022,Industrial,Space heating,1489.888177,64406.72689,59.077184
9,2022,Industrial,Water ,0,64406.72689,59.077184
10,2022,Industrial,Cooking/ Catering,0,64406.72689,59.077184
11,2022,Industrial,Lighting/ Appliances,196.9576658,64406.72689,59.077184
12,2022,Industrial,Process use,7878.37181,64406.72689,59.077184
13,2022,Industrial,Motors/Drivers,2568.661974,64406.72689,59.077184
14,2022,Industrial,Drying/Separation,1441.906863,64406.72689,59.077184
15,2022,Industrial,Other non-transport,2509.470406,64406.72689,59.077184
16,2022,Services,Space heating,9183.77642,124923.4594,59.077184
17,2022,Services,Water ,1290.406932,124923.4594,59.077184
18,2022,Services,Cooking/ Catering,1965.590554,124923.4594,59.077184
19,2022,Services,Lighting/ Appliances,3167.911754,124923.4594,59.077184
20,2022,Services,Process use,0,124923.4594,59.077184
21,2022,Services,Motors/Drivers,0,124923.4594,59.077184
22,2022,Services,Drying/Separation,0,124923.4594,59.077184
23,2022,Services,Other non-transport,3044.754339,124923.4594,59.077184
24,2021,Domestic,Space heating,25779.29734,969.6032519,66.78058737
25,2021,Domestic,Water ,7203.3098,969.6032519,66.78058737
26,2021,Domestic,Cooking/ Catering,1202.298046,969.6032519,66.78058737
27,2021,Domestic,Lighting/ Appliances,6739.884811,969.6032519,66.78058737
28,2021,Domestic,Process use,0,969.6032519,66.78058737
29,2021,Domestic,Motors/Drivers,0,969.6032519,66.78058737
30,2021,Domestic,Drying/Separation,0,969.6032519,66.78058737
31,2021,Domestic,Other non-transport,0,969.6032519,66.78058737
32,2021,Industrial,Space heating,1611.049424,66682.98074,66.78058737
33,2021,Industrial,Water ,0,66682.98074,66.78058737
34,2021,Industrial,Cooking/ Catering,0,66682.98074,66.78058737
35,2021,Industrial,Lighting/ Appliances,207.1321297,66682.98074,66.78058737
36,2021,Industrial,Process use,8370.663976,66682.98074,66.78058737
37,2021,Industrial,Motors/Drivers,2578.388086,66682.98074,66.78058737
38,2021,Industrial,Drying/Separation,1571.021326,66682.98074,66.78058737
39,2021,Industrial,Other non-transport,2623.649269,66682.98074,66.78058737
40,2021,Services,Space heating,9832.183234,125949.3232,66.78058737
41,2021,Services,Water ,1381.782806,125949.3232,66.78058737
42,2021,Services,Cooking/ Catering,2091.467705,125949.3232,66.78058737
43,2021,Services,Lighting/ Appliances,3236.957028,125949.3232,66.78058737
44,2021,Services,Process use,0,125949.3232,66.78058737
45,2021,Services,Motors/Drivers,0,125949.3232,66.78058737
46,2021,Services,Drying/Separation,0,125949.3232,66.78058737
