Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
1990,Domestic,Cooking/ Catering,1175.5611928987855,2299.0259515202292,,
1990,Domestic,Lighting/ Appliances,6601.260493550872,12909.978042057883,,
1990,Domestic,Space heating,25657.169637961724,50177.31037444137,,
1990,Domestic,Water ,7321.508675588615,14318.555725672017,,
1990,Industrial,Drying/Separation,3164.2800265963924,12802.030518673604,,
1990,Industrial,Lighting/ Appliances,333.5880967938384,1349.629286891708,,
1990,Industrial,Motors/Drivers,3584.8602302892646,14503.612097411951,,
1990,Industrial,Other non-transport,10572.183819305847,42772.89581395325,,
1990,Industrial,Process use,15587.722103168651,63064.73902564679,,
1990,Industrial,Space heating,5167.383267117098,20906.176991697168,,
1990,Industrial,Unknown industrial heat,249.58245672891235,1009.7596297145344,,
1990,Services,Cooking/ Catering,2002.3606539314437,1232.8272605955103,,
1990,Services,Lighting/ Appliances,3841.887981479286,2365.4001722529283,,
1990,Services,Other non-transport,2473.4052929476493,1522.843282832248,,
1990,Services,Space heating,9386.918729590885,5779.403066132378,,
1990,Services,Water ,1513.027342050735,931.5511417207349,,
1991,Domestic,Cooking/ Catering,1291.2900299428286,2555.1777770743697,,
1991,Domestic,Lighting/ Appliances,7251.125600155497,14348.376091088297,,
1991,Domestic,Space heating,28183.005317107607,55767.943070566784,,
1991,Domestic,Water ,8042.279052794063,15913.894041015648,,
1991,Industrial,Drying/Separation,3131.30274740272,12902.421897640294,,
1991,Industrial,Lighting/ Appliances,330.1115309680606,1360.2128536944315,,
1991,Industrial,Motors/Drivers,3547.4997768240564,14617.346994101448,,
1991,Industrial,Other non-transport,10462.003350268444,43108.31369839727,,
1991,Industrial,Process use,15425.271037059154,63559.28214564046,,
1991,Industrial,Space heating,5113.530182286383,21070.11972984771,,
1991,Industrial,Unknown industrial heat,246.981375191181,1017.6779955943899,,
1991,Services,Cooking/ Catering,2169.3317090020632,1418.7378695018851,,
1991,Services,Lighting/ Appliances,4162.251892182004,2722.1030132643814,,
1991,Services,Other non-transport,2679.655396079602,1752.48836858706,,
1991,Services,Space heating,10169.666693133127,6650.938258030253,,
1991,Services,Water ,1639.1943096032026,1072.0292488491207,,
1992,Domestic,Cooking/ Catering,1271.0586839723658,2473.766957555705,,
1992,Domestic,Lighting/ Appliances,7137.51825611171,13891.22079378645,,
1992,Domestic,Space heating,27741.44678429446,53991.114080826825,,
1992,Domestic,Water ,7916.276275621465,15406.859592283214,,
1992,Industrial,Drying/Separation,3004.7547916783806,12322.089864123474,,
1992,Industrial,Lighting/ Appliances,316.7704576912302,1299.032472393726,,
1992,Industrial,Motors/Drivers,3404.131702605745,13959.880142295955,,
1992,Industrial,Other non-transport,10039.193662557533,41169.36490657028,,
1992,Industrial,Process use,14801.876662991419,60700.47875592999,,
1992,Industrial,Space heating,4906.872812078473,20122.416614396057,,
1992,Industrial,Unknown industrial heat,236.99991039722113,971.90433036053,,
1992,Services,Cooking/ Catering,2183.8251091645116,1287.5785092687734,,
1992,Services,Lighting/ Appliances,4190.0600793762305,2470.4502609249134,,
1992,Services,Other non-transport,2697.5582911470933,1590.4744700502215,,
1992,Services,Space heating,10237.610681731396,6036.072872658218,,
1992,Services,Water ,1650.145838580768,972.9223782616733,,
1993,Domestic,Cooking/ Catering,1313.8144925438191,2594.322355634605,,
1993,Domestic,Lighting/ Appliances,7377.609738969003,14568.189029408582,,
1993,Domestic,Space heating,28674.61218661686,56622.291698773806,,
1993,Domestic,Water ,8182.563581870314,16157.6902578883,,
1993,Industrial,Drying/Separation,2982.589869351137,11826.71762402567,,
1993,Industrial,Lighting/ Appliances,314.433763658913,1246.8088128598777,,
1993,Industrial,Motors/Drivers,3379.0207301600312,13398.665512810056,,
1993,Industrial,Other non-transport,9965.13838577588,39514.27549056541,,
1993,Industrial,Process use,14692.688902498863,58260.2001613157,,
1993,Industrial,Space heating,4870.676695493322,19313.455902019065,,
1993,Industrial,Unknown industrial heat,235.2516530618584,932.8318653322367,,
1993,Services,Cooking/ Catering,2160.41269351748,1377.512315214599,,
1993,Services,Lighting/ Appliances,4145.139161600941,2643.004394723723,,
1993,Services,Other non-transport,2668.6382298842227,1701.5647230496438,,
1993,Services,Space heating,10127.855007841885,6457.6759069561385,,
1993,Services,Water ,1632.4549071554702,1040.8783217144946,,
1994,Domestic,Cooking/ Catering,1267.606029121119,2461.1155295022136,,
1994,Domestic,Lighting/ Appliances,7118.130176439566,13820.177812186677,,
1994,Domestic,Space heating,27666.09098677844,53714.99078100057,,
1994,Domestic,Water ,7894.772807660871,15328.065276162744,,
1994,Industrial,Drying/Separation,3086.661873557526,11992.63990365209,,
1994,Industrial,Lighting/ Appliances,325.4053532530466,1264.3008480182857,,
1994,Industrial,Motors/Drivers,3496.925462304513,13586.64134824567,,
1994,Industrial,Other non-transport,10312.853616307168,40068.63882920317,,
1994,Industrial,Process use,15205.363339228135,59077.55841147121,,
1994,Industrial,Space heating,5040.630027243764,19584.412961500842,,
1994,Industrial,Unknown industrial heat,243.46032810585297,945.9189783017441,,
1994,Services,Cooking/ Catering,2150.2537681699696,1342.6220669019222,,
1994,Services,Lighting/ Appliances,4125.647441604989,2576.061196753808,,
1994,Services,Other non-transport,2656.0894716593457,1658.4667303481813,,
1994,Services,Space heating,10080.230716768332,6294.113001980301,,
1994,Services,Water ,1624.7786017973638,1014.514489822187,,
1995,Domestic,Cooking/ Catering,1231.3805552056576,2322.72048769248,,
1995,Domestic,Lighting/ Appliances,6914.709213530252,13043.032626108241,,
1995,Domestic,Space heating,26875.45317474531,50694.45464369473,,
1995,Domestic,Water ,7669.157056518774,14466.127585986154,,
1995,Industrial,Drying/Separation,2969.220285148459,11773.668457207326,,
1995,Industrial,Lighting/ Appliances,313.0243011234832,1241.2162071338714,,
1995,Industrial,Motors/Drivers,3363.8741279943442,13338.565317258899,,
